Airline,Source,Destination,Additional_Info,Price,Stop_No,Duration_Min,D_Month,D_Day,D_Hour,D_Minutes,A_Hour,A_Minutes,A_Month,A_Day
6,2,1,6,7530,1,465,6,3,17,45,1,30,6,4
3,3,0,6,8443,1,295,5,1,9,20,14,15,0,0
8,2,1,6,5351,1,315,4,1,6,5,11,20,0,0
10,2,1,6,6688,0,190,3,21,6,0,9,10,0,0
4,0,5,5,11087,1,1355,3,12,20,35,19,10,3,13
1,0,5,6,7664,2,1815,3,15,5,50,12,5,3,16
3,3,0,6,4775,1,315,4,15,15,15,20,30,0,0
2,3,0,6,3514,0,155,6,27,15,20,17,55,0,0
4,2,1,6,13376,2,1300,6,24,6,45,4,25,6,25
4,2,1,6,14300,2,1705,6,12,8,10,12,35,6,13
1,2,1,6,7480,1,765,6,27,20,40,9,25,6,28
3,4,3,6,2227,0,90,5,12,21,20,22,50,0,0
0,2,1,6,7452,1,870,5,18,7,55,22,25,0,0
0,3,0,6,4409,0,155,5,24,10,20,12,55,0,0
1,3,0,6,4647,2,1555,4,3,9,10,11,5,4,4
8,1,4,7,3332,0,155,3,21,9,30,12,5,0,0
1,2,1,6,6902,1,555,3,27,10,0,19,15,0,0
0,3,0,6,6857,1,215,6,6,19,55,23,30,0,0
4,2,1,5,12373,1,550,5,9,19,15,4,25,5,10
6,2,1,6,11789,1,440,6,15,11,40,19,0,0,0
1,2,1,6,13039,2,865,5,9,17,15,7,40,5,10
4,0,5,5,11087,1,750,3,12,22,55,11,25,3,13
10,3,0,6,9345,1,1625,5,18,20,20,23,25,5,19
8,4,3,7,1965,0,90,6,24,22,45,0,15,6,25
3,2,1,6,6093,1,810,6,3,7,30,21,0,0,0
4,3,0,5,11841,1,800,6,9,18,55,8,15,6,10
4,3,0,5,9663,1,775,5,9,21,10,10,5,5,10
4,2,1,6,14714,1,1425,6,6,19,15,19,0,6,7
4,3,0,5,8529,1,1660,6,12,18,55,22,35,6,13
3,2,1,6,5073,1,275,4,6,7,35,12,10,0,0
4,0,2,6,7229,0,180,4,24,7,10,10,10,0,0
1,2,1,6,9194,1,555,6,6,10,0,19,15,0,0
6,2,1,6,11789,1,440,6,12,11,40,19,0,0,0
8,4,3,6,2017,0,90,6,12,13,15,14,45,0,0
1,3,0,6,15894,2,1320,6,6,14,30,12,30,6,7
3,0,2,6,3419,0,165,5,9,1,30,4,15,0,0
4,2,1,5,10368,2,1375,6,9,5,30,4,25,6,10
3,2,1,6,6027,1,290,4,24,15,10,20,0,0,0
1,2,1,6,7480,1,765,5,18,20,40,9,25,5,19
8,3,0,6,7189,1,520,6,12,8,35,17,15,0,0
1,0,5,6,7276,0,165,3,15,10,0,12,45,0,0
4,2,1,6,15764,1,1015,3,6,11,30,4,25,3,7
4,2,1,6,14714,1,550,6,6,19,15,4,25,6,7
6,2,1,6,7888,1,510,5,21,17,0,1,30,5,22
4,2,1,5,10262,1,1225,6,6,8,0,4,25,6,7
4,2,1,5,15318,2,505,5,18,20,0,4,25,5,19
4,3,0,5,5608,1,435,5,1,10,20,17,35,0,0
4,3,0,6,12681,1,590,4,1,8,25,18,15,0,0
1,2,1,6,9417,2,970,3,6,17,15,9,25,3,7
6,2,1,6,17057,1,835,3,3,7,5,21,0,0,0
6,2,1,6,12537,1,480,3,27,13,0,21,0,0,0
1,2,1,6,10651,2,1275,5,27,22,0,19,15,5,28
10,2,1,6,6741,0,190,6,1,6,0,9,10,0,0
4,3,0,5,10844,1,1595,5,24,20,0,22,35,5,25
1,2,1,6,13381,2,1730,5,27,14,25,19,15,5,28
3,0,2,6,4423,0,165,4,6,6,5,8,50,0,0
4,4,3,6,5678,0,90,5,27,19,35,21,5,0,0
4,2,1,5,12719,2,1620,5,21,9,35,12,35,5,22
3,2,1,6,5054,1,275,6,1,7,35,12,10,0,0
1,2,1,6,7480,1,1420,5,24,9,45,9,25,5,25
1,0,2,6,6961,0,165,6,3,17,0,19,45,0,0
8,3,0,7,3841,0,150,4,24,17,10,19,40,0,0
3,0,2,6,3943,0,180,6,3,21,15,0,15,6,4
4,0,2,6,7229,0,180,5,3,8,20,11,20,0,0
8,0,2,7,4319,0,170,5,15,9,30,12,20,0,0
3,0,2,6,4423,0,170,4,24,13,0,15,50,0,0
4,2,1,6,16079,1,335,5,21,22,50,4,25,5,22
4,0,2,5,7754,0,180,6,21,19,50,22,50,0,0
1,2,1,6,10467,2,1210,6,1,13,15,9,25,6,2
4,2,1,6,14714,1,1145,6,3,17,30,12,35,6,4
1,3,0,6,7452,1,1700,5,1,16,45,21,5,5,2
1,2,1,6,13276,2,1795,5,21,13,20,19,15,5,22
1,0,5,6,31783,2,1545,3,1,8,50,10,35,3,2
1,1,4,6,4667,0,135,5,1,11,40,13,55,0,0
4,0,2,5,7229,0,175,6,15,15,15,18,10,0,0
4,2,1,6,14237,2,1090,6,15,18,25,12,35,6,16
6,2,1,6,8266,1,535,5,15,10,20,19,15,0,0
4,2,1,6,13882,2,1140,6,24,9,25,4,25,6,25
3,0,2,6,4823,0,170,5,6,20,0,22,50,0,0
0,0,2,6,4483,0,170,5,24,23,55,2,45,5,25
1,0,2,6,6961,0,165,6,12,6,10,8,55,0,0
4,3,0,5,9663,1,910,5,12,18,55,10,5,5,13
4,2,1,6,16704,2,1760,5,18,23,5,4,25,5,20
3,4,3,6,4049,0,90,5,12,9,10,10,40,0,0
8,1,4,7,3807,0,135,3,24,8,20,10,35,0,0
3,2,1,6,6442,1,940,6,9,6,50,22,30,0,0
4,0,5,5,7832,1,1480,3,15,7,0,7,40,3,16
3,2,1,6,6442,1,835,6,24,8,35,22,30,0,0
3,0,2,6,4823,0,170,4,21,20,0,22,50,0,0
4,0,5,6,13555,1,1400,3,6,5,45,5,5,3,7
2,2,1,6,5135,1,540,4,6,10,35,19,35,0,0
0,0,2,6,3383,0,170,5,15,23,55,2,45,5,16
2,2,1,6,5842,1,370,6,15,7,25,13,35,0,0
4,2,1,6,16704,2,900,5,18,13,25,4,25,5,19
1,3,0,6,8366,1,905,5,1,16,50,7,55,5,2
8,4,3,7,1965,0,90,5,9,5,45,7,15,0,0
8,3,0,6,3873,0,150,6,6,17,10,19,40,0,0
4,0,5,6,27992,1,740,3,1,8,0,20,20,0,0
6,2,1,6,10678,1,460,6,6,4,55,12,35,0,0
1,0,5,6,6824,1,865,3,21,8,50,23,15,0,0
1,2,1,6,9443,2,2295,6,12,5,0,19,15,6,13
6,2,1,6,13378,1,730,3,21,7,5,19,15,0,0
3,0,2,6,3943,0,170,5,1,4,0,6,50,0,0
3,2,1,6,7191,1,575,5,18,11,25,21,0,0,0
8,0,2,6,3625,0,160,6,27,5,55,8,35,0,0
2,2,1,6,6841,1,370,5,27,7,25,13,35,0,0
4,3,0,5,11134,1,390,3,24,16,55,23,25,0,0
4,3,0,6,14571,1,1550,6,6,18,55,20,45,6,7
1,0,5,6,12346,3,1825,3,1,5,50,12,15,3,2
4,0,2,5,4544,0,180,4,21,17,45,20,45,0,0
4,2,1,6,13376,2,830,6,9,14,35,4,25,6,10
4,0,5,5,11087,1,1050,3,12,18,55,12,25,3,13
8,3,0,6,5515,0,150,3,3,9,0,11,30,0,0
3,3,0,6,4804,0,155,6,27,4,40,7,15,0,0
3,1,4,6,3597,0,140,6,12,13,15,15,35,0,0
6,2,1,6,15353,1,795,3,6,6,0,19,15,0,0
4,3,0,5,9899,1,590,6,12,6,30,16,20,0,0
3,0,5,6,7303,0,175,3,24,18,25,21,20,0,0
4,0,5,6,13817,1,745,3,12,8,55,21,20,0,0
4,2,1,6,19329,2,1475,3,6,19,10,19,45,3,7
4,2,1,6,16289,1,330,6,12,7,5,12,35,0,0
4,3,0,5,9663,1,910,5,15,18,55,10,5,5,16
1,2,1,6,10975,2,1420,6,3,9,45,9,25,6,4
0,3,0,6,4384,0,155,3,18,10,20,12,55,0,0
4,2,1,6,14714,1,600,6,12,9,0,19,0,0,0
4,2,1,5,10919,2,830,6,12,14,35,4,25,6,13
4,3,0,6,14388,1,875,5,21,14,5,4,40,5,22
6,2,1,6,10877,1,455,6,15,11,25,19,0,0,0
4,2,1,6,15129,2,810,5,9,23,5,12,35,5,10
3,2,1,6,7191,1,810,5,6,7,30,21,0,0,0
2,3,0,6,6686,1,495,5,1,23,30,7,45,5,2
6,2,1,6,7530,1,760,6,3,12,50,1,30,6,4
3,2,1,6,6442,1,895,6,15,7,35,22,30,0,0
4,2,1,5,10262,1,1655,6,27,9,0,12,35,6,28
4,0,5,6,13817,1,875,3,12,18,55,9,30,3,13
4,3,0,6,13626,1,570,6,12,14,5,23,35,0,0
4,3,0,6,14388,1,910,5,12,18,55,10,5,5,13
3,3,0,6,4804,0,155,4,27,4,40,7,15,0,0
3,2,1,6,5406,0,185,3,21,14,30,17,35,0,0
8,2,1,6,4611,1,295,4,3,17,55,22,50,0,0
3,3,0,6,5069,1,290,6,9,8,10,13,0,0,0
2,0,2,6,3898,0,175,6,6,7,45,10,40,0,0
3,4,3,6,2754,0,90,6,6,12,0,13,30,0,0
6,2,1,5,6943,1,630,5,27,15,0,1,30,5,28
4,3,0,6,14781,1,750,5,18,5,45,18,15,0,0
4,2,1,6,16079,1,360,5,21,13,0,19,0,0,0
3,0,5,6,8033,0,170,3,15,16,55,19,45,0,0
3,0,5,6,6860,0,175,3,9,18,25,21,20,0,0
6,2,1,6,6953,1,455,3,27,11,40,19,15,0,0
3,0,2,6,4823,0,175,5,12,7,10,10,5,0,0
3,3,0,6,4174,0,155,4,9,4,40,7,15,0,0
4,2,1,6,12819,2,1775,6,27,13,25,19,0,6,28
4,3,0,5,9663,1,450,5,15,21,10,4,40,5,16
8,3,0,7,3841,0,155,5,3,6,55,9,30,0,0
3,2,1,6,5000,0,195,6,27,5,35,8,50,0,0
1,0,5,4,13366,2,980,3,1,5,50,22,10,0,0
10,4,3,6,12395,1,1130,3,6,21,55,16,45,3,7
1,3,0,6,7452,1,1700,5,15,16,45,21,5,5,16
4,2,1,6,15554,1,1395,5,18,19,45,19,0,5,19
4,3,0,6,13067,1,1325,5,6,17,0,15,5,5,7
3,3,0,6,6565,0,155,3,1,15,10,17,45,0,0
8,4,3,7,1965,0,90,5,24,5,45,7,15,0,0
8,1,4,7,3332,0,155,3,27,9,30,12,5,0,0
3,0,5,6,6208,1,285,3,21,5,25,10,10,0,0
1,0,5,6,11161,1,1730,3,18,13,50,18,40,3,16
1,3,0,6,12224,2,1665,6,12,10,0,13,45,6,13
4,3,0,5,9663,1,1025,5,1,18,55,12,0,5,2
4,0,5,6,12284,1,380,3,18,8,55,15,15,0,0
1,2,1,6,7480,1,965,5,27,17,20,9,25,5,28
4,2,1,6,17024,1,550,3,6,19,15,4,25,3,7
4,3,0,6,14151,1,1365,6,6,20,25,19,10,6,7
3,3,0,6,4804,0,155,6,21,17,15,19,50,0,0
3,2,1,6,6069,1,300,5,18,16,0,21,0,0,0
10,0,5,6,6065,1,915,3,21,6,40,21,55,0,0
4,3,0,6,14151,1,800,5,18,20,25,9,45,5,19
4,3,0,6,14231,1,1025,3,24,18,55,12,0,3,25
10,4,3,6,12395,1,1065,3,6,15,40,9,25,3,7
3,2,1,6,5636,1,325,4,24,2,0,7,25,0,0
1,2,1,6,5232,1,320,4,6,17,40,23,0,0,0
4,2,1,6,14714,1,865,6,1,14,0,4,25,6,2
3,1,4,6,3850,0,140,5,6,7,55,10,15,0,0
1,2,1,6,7258,1,955,5,27,17,40,9,35,5,28
4,0,5,6,17471,1,1375,3,6,21,25,20,20,3,7
8,0,2,6,4423,0,175,5,9,21,10,0,5,5,10
3,4,3,6,2227,0,90,6,18,21,20,22,50,0,0
6,2,1,6,13377,1,930,6,24,10,0,1,30,6,25
4,0,2,6,8016,0,180,6,12,8,20,11,20,0,0
1,0,5,6,5626,1,1560,3,9,6,50,8,50,3,13
3,0,5,6,6860,0,170,3,21,16,55,19,45,0,0
3,2,1,6,6628,1,415,6,1,18,35,1,30,6,2
4,2,1,5,11627,1,1415,6,6,13,0,12,35,6,7
8,3,0,6,4174,0,150,6,9,17,10,19,40,0,0
4,2,1,6,14714,1,610,6,1,18,15,4,25,6,2
4,3,0,6,14151,1,690,5,12,9,35,21,5,0,0
4,2,1,5,12898,1,1620,5,27,16,0,19,0,5,28
4,2,1,5,12373,1,395,5,18,21,50,4,25,5,19
3,0,2,6,3943,0,170,6,18,10,10,13,0,0,0
0,3,0,6,7870,2,500,6,9,15,10,23,30,0,0
4,0,2,6,8016,0,185,6,18,18,55,22,0,0,0
1,2,1,6,10975,2,1220,5,15,13,5,9,25,5,16
3,1,4,6,3850,0,140,5,27,7,55,10,15,0,0
3,3,0,6,4804,0,165,6,18,20,25,23,10,0,0
4,2,1,6,15554,1,455,3,9,20,50,4,25,3,10
8,3,0,6,4465,0,160,3,18,6,55,9,35,0,0
4,3,0,5,11841,1,775,6,9,21,10,10,5,6,10
6,2,1,6,19332,1,675,3,9,8,0,19,15,0,0
8,3,0,7,3841,0,150,6,21,17,10,19,40,0,0
3,0,2,6,4591,0,170,4,12,10,10,13,0,0,0
3,3,0,6,5192,1,290,5,24,15,15,20,5,0,0
4,2,1,5,10577,1,1100,6,9,18,15,12,35,6,10
4,2,1,6,15129,2,535,5,18,19,30,4,25,5,19
6,2,1,6,11789,1,780,6,6,6,0,19,0,0,0
1,2,1,6,8372,1,640,6,15,21,0,7,40,6,16
6,2,1,6,8266,1,795,5,9,6,0,19,15,0,0
4,3,0,6,14781,1,800,5,6,6,30,19,50,0,0
10,0,2,6,5613,0,155,4,21,17,0,19,35,0,0
4,0,2,6,7229,0,175,4,24,15,15,18,10,0,0
3,2,1,6,6093,1,750,6,24,8,30,21,0,0,0
4,2,1,5,15544,2,425,5,21,5,30,12,35,0,0
2,2,1,6,6296,1,370,5,18,7,25,13,35,0,0
3,3,0,6,4804,0,165,4,27,9,35,12,20,0,0
0,0,5,6,4284,0,170,3,18,5,50,8,40,0,0
3,2,1,6,6558,1,885,3,21,7,35,22,20,0,0
3,2,1,6,5775,1,345,6,24,21,50,3,35,6,25
8,1,4,7,3543,0,135,6,21,8,20,10,35,0,0
4,2,1,6,17024,1,535,3,6,9,55,18,50,0,0
4,4,3,5,4050,0,85,6,9,7,5,8,30,0,0
1,4,3,6,14219,2,1995,3,6,6,0,15,15,3,7
4,0,5,6,26890,1,405,3,1,11,40,18,25,0,0
1,2,1,6,9653,2,1410,6,15,19,45,19,15,6,16
3,0,2,6,3943,0,165,6,21,6,5,8,50,0,0
4,3,0,5,10844,1,1575,5,18,14,5,16,20,5,19
4,3,0,5,8849,1,450,4,1,21,10,4,40,4,2
3,4,3,6,2754,0,90,6,12,1,40,3,10,0,0
1,2,1,6,10756,2,2185,3,21,6,50,19,15,3,22
4,3,0,6,14151,1,1685,5,21,17,0,21,5,5,22
4,3,0,5,9899,1,740,6,12,8,25,20,45,0,0
4,2,1,6,12242,1,385,3,21,22,0,4,25,3,22
4,2,1,5,10368,2,1025,6,9,19,30,12,35,6,10
3,4,3,6,5755,0,90,5,24,9,10,10,40,0,0
4,2,1,5,10262,1,610,6,15,18,15,4,25,6,16
8,3,0,6,6643,1,520,6,6,8,35,17,15,0,0
7,2,1,6,9845,1,810,3,21,7,30,21,0,0,0
4,3,0,5,11134,1,1025,3,24,18,55,12,0,3,25
8,2,1,6,5583,1,315,6,1,6,5,11,20,0,0
3,2,1,6,6069,1,300,5,15,16,0,21,0,0,0
4,0,5,6,13817,1,875,3,12,5,45,20,20,0,0
1,2,1,6,10283,2,2295,3,6,5,0,19,15,3,7
1,3,0,6,7795,1,675,3,24,9,50,21,5,0,0
6,2,1,5,13977,1,440,3,9,0,20,7,40,0,0
4,2,1,5,10919,2,1300,6,1,6,45,4,25,6,2
3,3,0,6,6038,0,160,3,3,20,25,23,5,0,0
3,2,1,6,5601,0,195,5,21,5,35,8,50,0,0
3,2,1,6,12351,1,810,3,9,7,30,21,0,0,0
1,2,1,6,6094,0,170,4,15,5,10,8,0,0,0
6,2,1,6,7575,1,520,5,15,10,35,19,15,0,0
4,2,1,6,16079,1,395,5,27,21,50,4,25,5,28
4,2,1,5,10262,1,1425,6,15,19,15,19,0,6,16
0,2,1,6,13470,1,340,6,9,16,45,22,25,0,0
4,0,2,6,8016,0,175,6,27,11,10,14,5,0,0
4,2,1,6,16289,1,1475,3,9,18,15,18,50,3,10
4,2,1,5,10262,1,520,6,6,19,45,4,25,6,7
3,0,2,6,4823,0,175,6,27,18,25,21,20,0,0
10,0,2,6,5403,0,170,4,9,9,45,12,35,0,0
4,2,1,5,12373,1,1530,5,18,17,30,19,0,5,19
8,4,3,6,13552,1,495,3,6,14,10,22,25,0,0
4,3,0,5,10844,1,740,5,9,8,25,20,45,0,0
1,4,3,6,22619,2,845,3,6,9,40,23,45,0,0
6,2,1,6,8625,1,520,5,27,10,35,19,15,0,0
3,0,5,6,4777,0,165,3,24,6,0,8,45,0,0
3,2,1,6,5000,0,195,6,21,5,35,8,50,0,0
4,2,1,6,21954,2,1475,3,6,19,10,19,45,3,7
4,2,1,5,11627,1,1015,6,3,11,30,4,25,6,4
4,3,0,6,13731,1,875,5,24,14,5,4,40,5,25
3,0,2,6,3943,0,170,4,3,22,10,1,0,4,4
4,0,5,5,6992,1,845,3,21,8,55,23,0,0,0
4,3,0,6,13941,1,585,5,6,18,55,4,40,5,7
4,2,1,6,14924,1,660,6,12,8,0,19,0,0,0
4,2,1,6,18371,1,620,6,27,2,15,12,35,0,0
3,1,4,6,7295,0,140,3,3,19,35,21,55,0,0
1,0,5,6,9292,1,1420,3,9,17,0,16,40,3,13
4,3,0,6,13941,1,735,5,1,20,0,8,15,5,2
3,3,0,6,4150,1,335,3,24,4,15,9,50,0,0
4,3,0,6,12681,1,1655,4,1,20,0,23,35,4,2
3,2,1,6,5601,0,195,6,3,5,35,8,50,0,0
1,3,0,6,14960,2,1385,5,21,9,50,8,55,5,22
6,2,1,6,13377,1,570,6,6,16,0,1,30,6,7
3,4,3,6,3342,0,85,3,21,12,0,13,25,0,0
4,0,2,6,8016,0,175,6,6,11,10,14,5,0,0
4,0,5,6,16736,1,1035,3,6,5,45,23,0,0,0
4,3,0,5,10031,1,1350,3,24,21,10,19,40,3,25
1,2,1,6,7258,1,705,4,21,20,30,8,15,4,22
4,0,2,5,4030,0,165,5,15,6,0,8,45,0,0
1,2,1,6,13381,2,1730,6,24,14,25,19,15,6,25
4,2,1,6,16704,2,1760,5,24,23,5,4,25,5,26
6,2,1,6,13587,1,720,6,24,9,0,21,0,0,0
4,4,3,6,5678,0,85,5,24,2,55,4,20,0,0
4,3,0,5,7064,1,1610,4,1,6,30,9,20,4,2
3,4,3,6,2754,0,90,6,3,1,40,3,10,0,0
10,0,2,6,4668,0,170,5,1,9,45,12,35,0,0
0,3,0,6,4107,0,150,6,21,19,55,22,25,0,0
3,2,1,6,5894,1,965,6,12,4,55,21,0,0,0
4,2,1,5,10262,1,655,6,6,17,30,4,25,6,7
4,3,0,6,13941,1,945,5,9,16,30,8,15,5,10
0,2,1,6,6451,1,865,4,27,16,45,7,10,4,28
1,2,1,6,10975,2,1420,6,27,9,45,9,25,6,28
1,2,1,6,14746,2,1180,3,6,12,0,7,40,3,7
0,2,1,6,11410,1,625,6,6,20,45,7,10,6,7
8,3,0,7,3841,0,155,5,1,6,55,9,30,0,0
1,2,1,6,13381,2,1490,6,3,6,50,7,40,6,4
6,2,1,6,15078,1,840,5,9,11,30,1,30,5,10
1,3,0,6,8891,1,545,5,9,9,25,18,30,0,0
4,3,0,5,7757,1,1200,5,9,14,5,10,5,5,10
1,0,2,6,4441,0,180,4,9,5,45,8,45,0,0
4,3,0,5,10031,1,1345,3,24,19,45,18,10,3,25
3,0,2,6,4823,0,170,4,12,13,0,15,50,0,0
1,3,0,6,8576,1,545,5,24,9,25,18,30,0,0
4,0,5,5,11087,1,1175,3,12,20,35,16,10,3,13
4,2,1,5,12373,1,1595,5,18,10,0,12,35,5,19
1,3,0,6,11432,2,1210,5,21,9,25,5,35,5,22
3,4,3,6,3175,0,90,6,15,16,55,18,25,0,0
3,3,0,6,4804,0,165,5,12,9,35,12,20,0,0
4,2,1,6,13014,2,1615,6,27,9,40,12,35,6,28
6,2,1,5,7563,1,910,3,6,7,10,22,20,0,0
8,3,0,6,3873,0,145,6,27,9,0,11,25,0,0
3,2,1,6,6282,1,780,5,21,11,55,0,55,5,22
6,2,1,6,11200,1,630,6,1,8,30,19,0,0,0
10,0,2,6,5613,0,165,4,24,19,30,22,15,0,0
3,2,1,6,5601,0,195,6,9,14,20,17,35,0,0
4,2,1,5,10262,1,1355,6,15,14,0,12,35,6,16
3,0,5,6,14306,0,175,3,1,20,0,22,55,0,0
4,3,0,5,7064,1,1485,4,1,20,0,20,45,4,2
4,2,1,6,18371,1,715,6,27,7,5,19,0,0,0
1,2,1,6,13591,2,1380,5,18,20,15,19,15,5,19
4,2,1,5,10368,2,1615,6,1,9,40,12,35,6,2
6,2,1,6,18275,2,460,6,12,17,50,1,30,6,13
3,0,2,6,3749,0,170,5,27,22,10,1,0,5,28
0,3,0,6,6810,2,500,6,6,15,10,23,30,0,0
6,2,1,6,7485,1,560,5,21,11,40,21,0,0,0
1,3,0,6,5510,0,150,5,27,14,15,16,45,0,0
4,2,1,5,10262,1,610,6,3,18,15,4,25,6,4
6,2,1,6,6723,1,540,6,24,7,10,16,10,0,0
6,2,1,6,8307,1,450,3,21,8,0,15,30,0,0
2,2,1,6,6146,1,460,4,21,5,55,13,35,0,0
4,2,1,6,15129,2,1390,5,27,13,25,12,35,5,28
4,3,0,6,14388,1,330,5,1,6,30,12,0,0,0
4,0,2,5,4544,0,165,4,6,6,0,8,45,0,0
4,0,2,5,5198,0,175,4,12,11,10,14,5,0,0
3,2,1,6,7503,1,975,5,18,9,15,1,30,5,19
2,0,5,6,12314,1,270,3,1,15,45,20,15,0,0
1,2,1,6,8372,1,375,5,15,13,0,19,15,0,0
4,3,0,6,14781,1,425,5,21,16,30,23,35,0,0
4,0,2,6,8016,0,180,6,24,19,50,22,50,0,0
3,1,4,6,6297,0,140,3,12,7,55,10,15,0,0
4,3,0,6,14388,1,1495,5,1,8,25,9,20,5,2
2,2,1,6,6393,1,370,6,1,7,25,13,35,0,0
4,3,0,6,14939,1,775,6,9,21,10,10,5,6,10
4,3,0,6,14781,1,685,5,21,8,25,19,50,0,0
3,2,1,6,14871,1,810,3,6,7,30,21,0,0,0
8,0,2,7,4319,0,170,4,6,9,30,12,20,0,0
4,3,0,6,13067,1,1005,5,15,17,0,9,45,5,16
4,0,5,6,26890,1,920,3,1,16,55,8,15,3,2
4,0,5,5,9134,1,375,3,15,7,0,13,15,0,0
3,0,2,6,3943,0,180,4,3,21,15,0,15,4,4
1,2,1,6,8879,1,735,6,24,7,0,19,15,0,0
4,3,0,6,14571,1,1025,5,24,18,55,12,0,5,25
3,3,0,6,5644,0,155,6,15,9,35,12,10,0,0
4,3,0,5,9663,1,1330,6,9,6,30,4,40,6,10
4,3,0,6,14571,1,570,6,9,14,5,23,35,0,0
8,0,2,6,3971,0,175,6,9,21,10,0,5,6,10
4,2,1,6,17024,1,590,3,6,9,0,18,50,0,0
8,3,0,7,3841,0,150,5,15,17,10,19,40,0,0
4,2,1,5,12898,1,1395,5,27,19,45,19,0,5,28
4,2,1,6,13376,2,830,6,6,14,35,4,25,6,7
4,2,1,5,9905,2,910,6,15,21,25,12,35,6,16
6,2,1,6,13587,1,780,6,15,8,0,21,0,0,0
6,2,1,6,7740,1,900,6,24,6,0,21,0,0,0
6,2,1,6,9794,1,395,5,21,6,0,12,35,0,0
4,0,5,6,17471,1,1350,3,6,22,50,21,20,3,7
4,2,1,5,15129,2,880,3,9,13,45,4,25,3,10
4,3,0,6,11467,1,1730,5,1,9,35,14,25,5,2
1,3,0,6,6528,1,1440,6,12,14,35,14,35,6,13
6,2,1,6,8266,1,705,6,27,7,30,19,15,0,0
3,2,1,6,6442,1,940,3,6,6,40,22,20,0,0
4,2,1,5,10262,1,825,6,12,22,50,12,35,6,13
4,4,3,6,17501,0,85,3,1,7,10,8,35,0,0
1,0,2,6,8273,0,165,5,24,6,10,8,55,0,0
1,2,1,6,10703,2,1485,3,21,18,30,19,15,3,22
6,2,1,6,8510,1,930,6,15,10,0,1,30,6,16
3,4,3,6,2754,0,90,3,15,20,5,21,35,0,0
3,4,3,6,2227,0,90,5,18,21,20,22,50,0,0
6,2,1,6,18275,2,460,6,27,17,50,1,30,6,28
8,2,1,7,6356,1,270,4,21,8,45,13,15,0,0
4,3,0,6,14781,1,400,5,15,14,5,20,45,0,0
4,2,1,5,13029,2,1615,5,27,9,40,12,35,5,28
2,0,2,6,4340,0,170,5,1,11,40,14,30,0,0
1,3,0,6,12224,2,1215,6,12,17,30,13,45,6,13
4,3,0,5,10844,1,1545,5,24,16,30,18,15,5,25
3,3,0,6,4174,0,165,4,15,9,35,12,20,0,0
1,0,5,6,14887,2,1795,3,1,17,0,22,55,3,2
6,2,1,6,12853,1,615,4,9,9,0,19,15,0,0
0,0,2,6,3383,0,165,5,15,11,10,13,55,0,0
2,0,5,6,11111,0,175,3,1,11,40,14,35,0,0
4,0,2,6,7229,0,180,4,1,17,45,20,45,0,0
4,0,2,5,4030,0,180,5,6,17,45,20,45,0,0
3,2,1,6,14871,1,635,3,3,15,0,1,35,3,4
4,2,1,5,12898,1,520,5,27,19,45,4,25,5,28
6,2,1,6,14533,1,465,5,18,11,30,19,15,0,0
1,2,1,6,7258,1,875,6,6,17,40,8,15,6,7
8,2,1,6,4812,1,270,4,1,8,45,13,15,0,0
4,3,0,5,12384,1,690,5,9,9,35,21,5,0,0
1,2,1,6,8603,2,1180,6,6,12,0,7,40,6,7
1,2,1,6,8603,2,435,6,6,12,0,19,15,0,0
4,3,0,6,14231,1,570,3,24,13,55,23,25,0,0
4,2,1,6,15129,2,1760,5,9,23,5,4,25,5,11
0,2,1,6,11410,1,625,6,1,20,45,7,10,6,2
1,0,5,6,12725,2,1475,3,12,8,50,9,25,3,13
4,2,1,6,13292,2,1620,6,9,9,35,12,35,6,10
8,3,0,6,3873,0,155,4,24,6,55,9,30,0,0
3,1,4,6,3850,0,140,6,15,7,55,10,15,0,0
8,3,0,6,8479,1,435,6,9,11,35,18,50,0,0
4,3,0,6,14151,1,840,5,24,9,35,23,35,0,0
1,0,2,6,5228,0,165,4,24,6,10,8,55,0,0
10,3,0,6,9397,1,1555,6,9,7,10,9,5,6,10
4,4,3,5,4995,0,85,6,18,7,5,8,30,0,0
1,2,1,6,10651,2,1410,6,1,19,45,19,15,6,2
0,0,2,6,4282,0,170,4,3,4,55,7,45,0,0
1,3,0,6,10697,2,810,5,21,8,20,21,50,0,0
4,3,0,5,9314,1,1730,5,21,9,35,14,25,5,22
3,1,4,6,3540,0,145,6,27,5,15,7,40,0,0
1,2,1,6,9443,2,1595,6,12,16,40,19,15,6,13
6,2,1,6,15147,1,480,3,6,7,30,15,30,0,0
4,0,2,6,8016,0,180,6,27,8,20,11,20,0,0
3,4,3,6,2437,0,90,5,24,21,20,22,50,0,0
3,2,1,6,6104,1,895,5,27,10,35,1,30,5,28
8,4,3,7,1965,0,90,6,6,22,45,0,15,6,7
6,2,1,6,7408,1,480,6,12,13,0,21,0,0,0
3,4,3,6,4049,0,90,6,18,6,25,7,55,0,0
4,0,2,6,8016,0,180,6,1,19,50,22,50,0,0
6,2,1,6,10197,1,720,5,9,7,0,19,0,0,0
4,3,0,5,10844,1,665,5,1,21,10,8,15,5,2
4,3,0,6,12692,1,1570,6,9,17,0,19,10,6,10
4,3,0,6,14781,1,475,5,6,8,25,16,20,0,0
2,3,0,6,7335,1,495,5,24,23,30,7,45,5,25
4,0,2,6,7229,0,180,5,27,8,20,11,20,0,0
